title,authors,isbn,isbn13,language_code,  num_pages,publication_date,publisher,Unnamed: 12
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,439785960,9.78044E+12,eng,652,9/16/06,Scholastic Inc.,
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,439358078,9.78044E+12,eng,870,9/1/04,Scholastic Inc.,
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,439554896,9.78044E+12,eng,352,11/1/03,Scholastic,
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X,9.78044E+12,eng,435,5/1/04,Scholastic Inc.,
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,439682584,9.78044E+12,eng,2690,9/13/04,Scholastic,
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,976540606,9.78098E+12,en-US,152,4/26/05,Nimble Books,
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,439827604,9.78044E+12,eng,3342,9/12/05,Scholastic,
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517226952,9.78052E+12,eng,815,11/1/05,Gramercy Books,
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,345453743,9.78035E+12,eng,815,4/30/02,Del Rey Books,
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920,9.7814E+12,eng,215,8/3/04,Crown,
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,739322206,9.78074E+12,eng,6,3/23/05,Random House Audio,
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,517149257,9.78052E+12,eng,815,1/17/96,Wings Books,
A Short History of Nearly Everything,Bill Bryson,076790818X,9.78077E+12,eng,544,9/14/04,Broadway Books,
Bill Bryson's African Diary,Bill Bryson,767915062,9.78077E+12,eng,55,12/3/02,Broadway Books,
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,767910435,9.78077E+12,eng,256,9/14/04,Broadway Books,
In a Sunburned Country,Bill Bryson,767903862,9.78077E+12,eng,335,5/15/01,Broadway Books,
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,9.78077E+12,eng,304,6/28/00,Broadway Books,
The Lost Continent: Travels in Small Town America,Bill Bryson,60920084,9.78006E+12,eng,299,8/28/90,William Morrow Paperbacks,
Neither Here nor There: Travels in Europe,Bill Bryson,380713802,9.78038E+12,eng,254,3/28/93,William Morrow Paperbacks,
Notes from a Small Island,Bill Bryson,380727501,9.78038E+12,eng,324,5/28/97,William Morrow Paperbacks,
The Mother Tongue: English and How It Got That Way,Bill Bryson,380715430,9.78038E+12,eng,270,9/28/91,William Morrow Paperbacks,
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,345538374,9.78035E+12,eng,1728,9/25/12,Ballantine Books,
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,618517650,9.78062E+12,eng,1184,10/21/04,Houghton Mifflin Harcourt,
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,618346252,9.78062E+12,eng,398,9/5/03,Houghton Mifflin Harcourt,
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,618260587,9.78062E+12,en-US,1216,10/1/02,Houghton Mifflin Harcourt,
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,618391002,9.78062E+12,eng,218,11/5/03,Houghton Mifflin Harcourt,
The Lord of the Rings: Complete Visual Companion,Jude Fisher,618510826,9.78062E+12,eng,224,11/15/04,Houghton Mifflin Harcourt,
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,097669400X,9.78098E+12,eng,558,7/28/05,Pragmatic Bookshelf,
Hatchet (Brian's Saga  #1),Gary Paulsen,689840926,9.78069E+12,eng,208,4/1/00,Atheneum Books for Young Readers: Richard Jackson Books,
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,1557344493,9.78156E+12,eng,48,8/28/94,Teacher Created Resources,
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,385326505,9.78039E+12,eng,144,1/23/01,Delacorte Press,
Molly Hatchet - 5 of the Best,Molly Hatchet,1575606240,9.78158E+12,eng,56,6/10/03,Cherry Lane Music Company,
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,1595580271,9.7816E+12,en-US,228,11/1/05,The New Press,
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,1595962808,9.7816E+12,eng,304,11/1/05,Changeling Press,
Changeling (Changeling  #1),Delia Sherman,670059676,9.78067E+12,eng,256,8/17/06,Viking Juvenile,
The Changeling Sea,Patricia A. McKillip,141312629,9.78014E+12,eng,137,4/14/03,Firebird,
The Changeling,Zilpha Keatley Snyder,595321801,9.7806E+12,eng,228,6/8/04,iUniverse,
The Changeling,Kate Horsley,1590301943,9.78159E+12,eng,339,4/12/05,Shambhala,
The Changeling (Daughters of England  #15),Philippa Carr,449146979,9.78045E+12,eng,369,8/28/90,Ivy Books,
The Known World,Edward P. Jones,61159174,9.78006E+12,eng,388,8/29/06,Amistad,
The Known World,Edward P. Jones/Kevin R. Free,006076273X,9.78006E+12,en-US,14,6/15/04,HarperAudio,
The Known World,Edward P. Jones,60749911,9.78006E+12,eng,576,6/15/04,Harper,
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,273704745,9.78027E+12,eng,334,5/15/06,FT Press,
Artesia: Adventures in the Known World,Mark Smylie,1932386106,9.78193E+12,eng,352,12/14/05,Archaia,
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,374517193,9.78037E+12,eng,416,6/1/82,Farrar  Straus and Giroux,
Uncommon Carriers,John McPhee,374280398,9.78037E+12,en-US,248,5/16/06,Farrar Straus Giroux,
Heirs of General Practice,John McPhee,374519749,9.78037E+12,eng,128,4/1/86,Farrar  Straus and Giroux,
The Control of Nature,John McPhee,374522596,9.78037E+12,en-US,288,9/1/90,Farrar  Straus and Giroux,
Annals of the Former World,John McPhee,374518734,9.78037E+12,eng,720,1/6/99,Farrar  Straus and Giroux,
Coming Into the Country,John McPhee,374522871,9.78037E+12,eng,448,4/1/91,Farrar  Straus and Giroux,
La Place de la Concorde Suisse,John McPhee,374519323,9.78037E+12,fre,160,4/1/94,Farrar  Straus and Giroux,
Giving Good Weight,John McPhee,374516006,9.78037E+12,eng,288,4/1/94,Farrar  Straus and Giroux,
Rising from the Plains,John McPhee,374520658,9.78037E+12,eng,208,11/1/87,Farrar  Straus and Giroux,
The Heidi Chronicles,Wendy Wasserstein,822205106,9.78082E+12,eng,81,3/1/02,Dramatists Play Service,
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,679734996,9.78068E+12,eng,249,7/2/91,Vintage,
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,1596670231,9.7816E+12,eng,138,3/29/06,Routledge,
Simply Beautiful Beaded Jewelry,Heidi Boyd,1581807740,9.78158E+12,en-US,128,3/14/06,North Light Books,
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,800793617,9.7808E+12,eng,192,9/1/03,Chosen Books,
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,871202867,9.78087E+12,en-US,108,1/28/97,Association for Supervision & Curriculum Development,
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,753454947,9.78075E+12,eng,352,11/15/02,Kingfisher,
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,871209993,9.78087E+12,eng,192,11/15/04,ASCD,
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,1852402873,9.78185E+12,eng,192,4/28/03,Sovereign World,
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,761129588,9.78076E+12,eng,832,10/16/03,Workman Publishing Company,
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,972016414,9.78097E+12,eng,123,5/10/04,One Hour Entertainment,
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,1581805632,9.78158E+12,en-US,128,8/19/04,North Light Books,
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,441294677,9.78044E+12,eng,423,6/15/87,Ace Books,
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,441102670,9.78044E+12,eng,436,7/1/87,Ace Books,
Dune Messiah (Dune Chronicles #2),Frank Herbert,441172695,9.78044E+12,eng,331,7/15/87,Ace Books,
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,765306476,9.78077E+12,en-US,592,7/1/04,Tor Books,
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,399128980,9.7804E+12,eng,480,4/16/84,Putnam,
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,765353709,9.78077E+12,eng,426,8/29/06,Tor Science Fiction,
Heretics of Dune (Dune Chronicles #5),Frank Herbert,441328008,9.78044E+12,eng,471,8/15/87,Ace Books,
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,618212906,9.78062E+12,eng,192,6/12/02,Houghton Mifflin Harcourt,
